tournament_name,tournament_page_link,tournament_logo_link,tournament_format,tournament_stage,match_format,match_status,team1_page_link,team1_logo_link,team1,team1_score,team2_score,team2,team2_logo_link,team2_page_link,match_begin_time_UTC+0,match_url
TWC 2024,https://escorenews.com/ru/csgo/thunderpick-world-championship-2024,https://escorenews.com/media/event/_120/e8823.png,1/16,Closed Qualifier 2,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/og,https://escorenews.com/media/logo/_90/t43996.png,OG,0,0,Team Endpoint,https://escorenews.com/media/logo/_90/t13184.png,https://escorenews.com/ru/csgo/team/endpoint,2024-08-30 12:30:00,https://escorenews.com/ru/csgo/thunderpick-world-championship-2024/europe/og-vs-endpoint-546619
PW Shanghai Major 2024,https://escorenews.com/ru/csgo/perfect-world-shanghai-major-2024,https://escorenews.com/media/event/_120/e8281.png,"Lower Bracket, Round 4",Middle East Closed Qualifier,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/nom,https://escorenews.com/media/logo/_90/t35792.png,NOM eSports,0,0,DRILLAS,https://escorenews.com/media/logo/not.svg,https://escorenews.com/ru/csgo/team/drillas,2024-08-30 13:00:00,https://escorenews.com/ru/csgo/perfect-world-shanghai-major-2024/apac/nom-vs-drillas-562718
IEM Rio 2024,https://escorenews.com/ru/csgo/iem-rio-2024,https://escorenews.com/media/event/_120/e8436.png,"Upper Bracket, Round 1",Closed Qualifier,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/lag,https://escorenews.com/media/logo/_90/t93037.png,LAG Gaming,0,0,Legacy,https://escorenews.com/media/logo/_90/t97104.png,https://escorenews.com/ru/csgo/team/legacy-br,2024-08-31 21:30:00,https://escorenews.com/ru/csgo/iem-rio-2024/north-america/lag-vs-legacy-br-535183
BBD Belgrade 2024 #2,https://escorenews.com/ru/csgo/betboom-dacha-belgrade-2024-2,https://escorenews.com/media/event/_120/e9219.png,"Lower Bracket, Round 2",Playoff,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/pain-gaming,https://escorenews.com/media/logo/_90/t11091.png,paiN Gaming,0,0,Virtus.pro,https://escorenews.com/media/logo/_90/t4636.png,https://escorenews.com/ru/csgo/team/virtus-pro,2024-08-30 11:00:00,https://escorenews.com/ru/csgo/betboom-dacha-belgrade-2024-2/playoff/pain-gaming-vs-virtus-pro-569433
WI S5,https://escorenews.com/ru/csgo/winline-insight-season-5,https://escorenews.com/media/event/_120/e9245.png,Table,Group Stage,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/sinners-cz,https://escorenews.com/media/logo/_90/t45402.png,Sinners Esports,0,0,HOTU,https://escorenews.com/media/logo/_90/t89963.png,https://escorenews.com/ru/csgo/team/hotu,2024-08-30 11:00:00,https://escorenews.com/ru/csgo/winline-insight-season-5/group-stage/sinners-cz-vs-hotu-572562
CCT S2 EU #11,https://escorenews.com/ru/csgo/cct-season-2-european-series-11,https://escorenews.com/media/event/_120/e9251.png,"Lower Bracket, Round 1",Group D,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/alternate,https://escorenews.com/media/logo/_90/t5123.png,ALTERNATE aTTaX,0,0,Fluffy Gangsters,https://escorenews.com/media/logo/_90/t7249.png,https://escorenews.com/ru/csgo/team/fluffy-gangsters,2024-08-30 11:00:00,https://escorenews.com/ru/csgo/cct-season-2-european-series-11/closed-qualifier/alternate-vs-fluffy-gangsters-571472
PW Shanghai Major 2024,https://escorenews.com/ru/csgo/perfect-world-shanghai-major-2024,https://escorenews.com/media/event/_120/e8281.png,Final,East Asia Closed Qualifier,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/gr-rus,https://escorenews.com/media/logo/_90/t94438.png,GR Gaming,0,0,TBD,TBD,TBD,2024-08-30 11:00:00,https://escorenews.com/ru/csgo/perfect-world-shanghai-major-2024/apac/gr-rus-vs-tbd-562747
ECL S48,https://escorenews.com/ru/csgo/esl-challenger-league-season-48,https://escorenews.com/media/event/_120/e7636.png,Table,Group Stage,Best of 1,scheduled,https://escorenews.com/ru/csgo/team/vantage,https://escorenews.com/media/logo/_90/t96993.png,Vantage Esports,0,0,FlyQuest,https://escorenews.com/media/logo/_90/t99357.png,https://escorenews.com/ru/csgo/team/flyquest,2024-08-30 10:00:00,https://escorenews.com/ru/csgo/esl-challenger-league-season-48/oceania/vantage-vs-flyquest-572080
ECL S48,https://escorenews.com/ru/csgo/esl-challenger-league-season-48,https://escorenews.com/media/event/_120/e7636.png,Table,Group Stage,Best of 1,scheduled,https://escorenews.com/ru/csgo/team/flyquest,https://escorenews.com/media/logo/_90/t99357.png,FlyQuest,0,0,Vantage Esports,https://escorenews.com/media/logo/_90/t96993.png,https://escorenews.com/ru/csgo/team/vantage,2024-08-30 09:00:00,https://escorenews.com/ru/csgo/esl-challenger-league-season-48/oceania/flyquest-vs-vantage-572079
TWC 2024,https://escorenews.com/ru/csgo/thunderpick-world-championship-2024,https://escorenews.com/media/event/_120/e8823.png,1/16,Closed Qualifier 2,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/zero-tenacity,https://escorenews.com/media/logo/_90/t87412.png,Zero Tenacity,0,0,Nexus Gaming,https://escorenews.com/media/logo/_90/t5421.png,https://escorenews.com/ru/csgo/team/nexus,2024-08-30 09:30:00,https://escorenews.com/ru/csgo/thunderpick-world-championship-2024/europe/zero-tenacity-vs-nexus-546624
PW Shanghai Major 2024,https://escorenews.com/ru/csgo/perfect-world-shanghai-major-2024,https://escorenews.com/media/event/_120/e8281.png,"Lower Bracket, Round 4",Southeast Asia Closed Qualifier,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/gods-reign,https://escorenews.com/media/logo/_90/t96644.png,Gods Reign,0,0,True Rippers Esports,https://escorenews.com/media/logo/_90/t98311.png,https://escorenews.com/ru/csgo/team/true-rippers,2024-08-30 09:00:00,https://escorenews.com/ru/csgo/perfect-world-shanghai-major-2024/apac/gods-reign-vs-true-rippers-562774
EPL S18,https://escorenews.com/ru/csgo/european-pro-league-season-18,https://escorenews.com/media/event/_120/e9121.png,Final,Playoff,Best of 5,scheduled,https://escorenews.com/ru/csgo/team/gun5,https://escorenews.com/media/logo/_90/t97146.png,GUN5 Esports,0,0,Team Sampi,https://escorenews.com/media/logo/_90/t49837.png,https://escorenews.com/ru/csgo/team/sampi,2024-08-30 08:00:00,https://escorenews.com/ru/csgo/european-pro-league-season-18/division-1/gun5-vs-sampi-566103
CCT S2 EU #11,https://escorenews.com/ru/csgo/cct-season-2-european-series-11,https://escorenews.com/media/event/_120/e9251.png,"Lower Bracket, Round 1",Group C,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/monte-gen,https://escorenews.com/media/logo/_90/t97659.png,Monte Gen,0,0,Grannys Knockers,https://escorenews.com/media/logo/_90/t94499.png,https://escorenews.com/ru/csgo/team/grannys-knockers,2024-08-30 08:00:00,https://escorenews.com/ru/csgo/cct-season-2-european-series-11/closed-qualifier/monte-gen-vs-grannys-knockers-571467
PW Shanghai Major 2024,https://escorenews.com/ru/csgo/perfect-world-shanghai-major-2024,https://escorenews.com/media/event/_120/e8281.png,"Lower Bracket, Round 4",East Asia Closed Qualifier,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/chinggis-warriors,https://escorenews.com/media/logo/_90/t97355.png,Chinggis Warriors,0,0,ATOX Esports,https://escorenews.com/media/logo/_90/t96426.png,https://escorenews.com/ru/csgo/team/atox,2024-08-30 08:00:00,https://escorenews.com/ru/csgo/perfect-world-shanghai-major-2024/apac/chinggis-warriors-vs-atox-562746
ESL Atlanta 2024,https://escorenews.com/ru/csgo/esl-challenger-at-dreamhack-atlanta-2024,https://escorenews.com/media/event/_120/e8439.png,"Upper Bracket, Round 2",Closed Qualifier,Best of 3,live,https://escorenews.com/ru/csgo/team/wildcard,https://escorenews.com/media/logo/_90/t96108.png,Wildcard,0,0,NRG,https://escorenews.com/media/logo/_90/t7183.png,https://escorenews.com/ru/csgo/team/nrg,2024-08-30 01:30:00,https://escorenews.com/ru/csgo/esl-challenger-at-dreamhack-atlanta-2024/north-america/wildcard-vs-nrg-535679
United21 S19,https://escorenews.com/ru/csgo/united21-season-19,https://escorenews.com/media/event/_120/e9289.png,"Upper Bracket, Round 1",Group C,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/enterprise,https://escorenews.com/media/logo/_90/t49839.png,ENTERPRISE,0,0,Project G,https://escorenews.com/media/logo/_90/t89892.png,https://escorenews.com/ru/csgo/team/project-g,2024-09-03 10:30:00,https://escorenews.com/ru/csgo/united21-season-19/group-stage/enterprise-vs-project-g-572895
ESL Atlanta 2024,https://escorenews.com/ru/csgo/esl-challenger-at-dreamhack-atlanta-2024,https://escorenews.com/media/event/_120/e8439.png,"Lower Bracket, Round 1",Closed Qualifier,Best of 3,live,https://escorenews.com/ru/csgo/team/party-astronauts,https://escorenews.com/media/logo/_90/t34529.png,Party Astronauts,0,0,Nouns Esports,https://escorenews.com/media/logo/_90/t60903.png,https://escorenews.com/ru/csgo/team/nouns,2024-08-30 01:30:00,https://escorenews.com/ru/csgo/esl-challenger-at-dreamhack-atlanta-2024/north-america/party-astronauts-vs-nouns-535680
