team_name,team_page_link,team_region,player_1,player_1_status,player_1_page_link,player_2,player_2_status,player_2_page_link,player_3,player_3_status,player_3_page_link,player_4,player_4_status,player_4_page_link,player_5,player_5_status,player_5_page_link,accomplishment_1,accomplishment_1_place,accomplishment_1_prize_pool,accomplishment_1_end_time,accomplishment_2,accomplishment_2_place,accomplishment_2_prize_pool,accomplishment_2_end_time,accomplishment_3,accomplishment_3_place,accomplishment_3_prize_pool,accomplishment_3_end_time,accomplishment_4,accomplishment_4_place,accomplishment_4_prize_pool,accomplishment_4_end_time,accomplishment_5,accomplishment_5_place,accomplishment_5_prize_pool,accomplishment_5_end_time,accomplishment_6,accomplishment_6_place,accomplishment_6_prize_pool,accomplishment_6_end_time,accomplishment_7,accomplishment_7_place,accomplishment_7_prize_pool,accomplishment_7_end_time,accomplishment_8,accomplishment_8_place,accomplishment_8_prize_pool,accomplishment_8_end_time,accomplishment_9,accomplishment_9_place,accomplishment_9_prize_pool,accomplishment_9_end_time,accomplishment_10,accomplishment_10_place,accomplishment_10_prize_pool,accomplishment_10_end_time,matches_played_in_the_last_year,matches_played_overall,winstreak
complexity-gaming,https://escorenews.com/ru/csgo/team/complexity,North America,EliGE,active player,https://escorenews.com/ru/csgo/player/elige,hallzerk,active player,https://escorenews.com/ru/csgo/player/hallzerk,Grim,active player,https://escorenews.com/ru/csgo/player/grim,floppy,active player,https://escorenews.com/ru/csgo/player/floppy,JT,active player,https://escorenews.com/ru/csgo/player/JT-za,BLAST Fall Showdown 2024,5,$7500,2024-08-25,IEM Cologne 2024,9,$16000,2024-08-18,BLAST Fall Groups 2024,7,$10500,2024-08-04,EWC 2024,12,$10000,2024-07-21,ESL Jönköping 2024,1,$50000,2024-06-16,Compass 2024,7,$8000,2024-06-09,IEM Dallas 2024,13,$4000,2024-06-02,EPL S19,3,$45000,2024-05-12,PGL Major Copenhagen 2024,9,$20000,2024-03-31,BLAST Spring Showdown 2024,9,$5000,2024-03-10,75,880,–
9z-team,https://escorenews.com/ru/csgo/team/9z,South America,max,active player,https://escorenews.com/ru/csgo/player/max,dgt,active player,https://escorenews.com/ru/csgo/player/dgt,Martinez,active player,https://escorenews.com/ru/csgo/player/Martinez,buda,active player,https://escorenews.com/ru/csgo/player/buda,HUASOPEEK,active player,https://escorenews.com/ru/csgo/player/huasopeek,TWC 2024 – Closed Qualifier 1,2,$5000,2024-10-01,EPL S20,21,$7000,2024-09-03,IEM Cologne 2024,13,$10000,2024-08-18,CCT S2 EU #6,5,$2000,2024-07-28,FiReLEAGUE 2023 Finals,1,$100000,2024-06-17,ECL S47 – South America,3,$7500,2024-06-10,IEM Dallas 2024,3,$20000,2024-06-02,CBCS S4,2,$3988,2024-05-19,RES LATAM S4,2,$15000,2024-05-12,GET Rio 2024,5,$5000,2024-04-20,127,477,2
astralis,https://escorenews.com/ru/csgo/team/astralis,Europe,dev1ce,active player,https://escorenews.com/ru/csgo/player/dev1ce,stavn,active player,https://escorenews.com/ru/csgo/player/stavn,jabbi,active player,https://escorenews.com/ru/csgo/player/jabbi,br0,active player,https://escorenews.com/ru/csgo/player/br0,Staehr,active player,https://escorenews.com/ru/csgo/player/staehr,IEM Cologne 2024,9,$16000,2024-08-18,BLAST Fall Groups 2024,5,$12500,2024-08-04,BLAST Spring Final 2024,5,$20000,2024-06-16,Compass 2024,3,$28000,2024-06-09,CCT S1 Global Finals,3,$50000,2024-05-23,EPL S19,3,$45000,2024-05-12,IEM Chengdu 2024,3,$20000,2024-04-14,IEM Katowice 2024,21,$2500,2024-02-11,BLAST Spring Groups 2024,5,$12500,2024-01-28,BLAST Fall Final 2023,7,$10000,2023-11-26,62,977,2
faze-clan,https://escorenews.com/ru/csgo/team/faze,Europe,karrigan,active player,https://escorenews.com/ru/csgo/player/karrigan,rain,active player,https://escorenews.com/ru/csgo/player/rain,frozen,active player,https://escorenews.com/ru/csgo/player/frozen,ropz,active player,https://escorenews.com/ru/csgo/player/ropz,broky,active player,https://escorenews.com/ru/csgo/player/broky,BLAST Fall Showdown 2024,1,$20000,2024-08-25,IEM Cologne 2024,5,$40000,2024-08-18,BLAST Fall Groups 2024,9,$8500,2024-08-04,EWC 2024,5,$40000,2024-07-21,BLAST Spring Final 2024,5,$20000,2024-06-16,IEM Dallas 2024,5,$10000,2024-06-02,EPL S19,5,$32000,2024-05-12,IEM Chengdu 2024,1,$100000,2024-04-14,PGL Major Copenhagen 2024,2,$170000,2024-03-31,IEM Katowice 2024,2,$180000,2024-02-11,88,968,3
g2-esports,https://escorenews.com/ru/csgo/team/g2,Europe,Snax,active player,https://escorenews.com/ru/csgo/player/snax,NiKo,active player,https://escorenews.com/ru/csgo/player/niko,huNter-,active player,https://escorenews.com/ru/csgo/player/hunter,malbsMd,active player,https://escorenews.com/ru/csgo/player/malbsmd,m0NESY,active player,https://escorenews.com/ru/csgo/player/m0nesy,IEM Cologne 2024,5,$40000,2024-08-18,BLAST Fall Groups 2024,1,$22500,2024-08-04,EWC 2024,2,$175000,2024-07-21,BLAST Spring Final 2024,7,$10000,2024-06-16,IEM Dallas 2024,1,$100000,2024-06-02,EPL S19,5,$32000,2024-05-12,IEM Chengdu 2024,3,$20000,2024-04-14,PGL Major Copenhagen 2024,3,$80000,2024-03-31,IEM Katowice 2024,5,$40000,2024-02-11,BLAST Spring Groups 2024,5,$12500,2024-01-28,75,1059,3
natus-vincere,https://escorenews.com/ru/csgo/team/navi,Europe,Aleksib,active player,https://escorenews.com/ru/csgo/player/aleksib,iM,active player,https://escorenews.com/ru/csgo/player/im,B1T,active player,https://escorenews.com/ru/csgo/player/b1t,jL,active player,https://escorenews.com/ru/csgo/player/jl,w0nderful,active player,https://escorenews.com/ru/csgo/player/w0nderful,IEM Cologne 2024,2,$180000,2024-08-18,BLAST Fall Groups 2024,5,$12500,2024-08-04,EWC 2024,1,$400000,2024-07-21,BLAST Spring Final 2024,2,$85000,2024-06-16,IEM Dallas 2024,9,$5000,2024-06-02,EPL S19,9,$23500,2024-05-12,PGL Major Copenhagen 2024,1,$500000,2024-03-31,IEM Katowice 2024,7,$24000,2024-02-11,BLAST Spring Groups 2024,1,$22500,2024-01-28,BLAST World Final 2023,3,$85000,2023-12-17,66,1198,3
m80,https://escorenews.com/ru/csgo/team/m80,North America,slaxz-,active player,https://escorenews.com/ru/csgo/player/slaxz,Swisher,active player,https://escorenews.com/ru/csgo/player/swisher,reck,active player,https://escorenews.com/ru/csgo/player/reckmonster,s1n,active player,https://escorenews.com/ru/csgo/player/s1n,Lake,active player,https://escorenews.com/ru/csgo/player/lake-us,TWC 2024 – Closed Qualifier 1,1,$20000,2024-10-01,BLAST Fall Showdown 2024,9,$5000,2024-08-25,CCT S2 NA #2,3,$1500,2024-08-19,EWC 2024,10,$15000,2024-07-21,ECL S47 – North America,1,$25000,2024-06-10,IEM Dallas 2024,13,$4000,2024-06-02,EPL S19,17,$12000,2024-05-12,IEM Katowice 2024,17,$4500,2024-02-11,ESL Atlanta 2023,7,$2000,2023-12-18,Mythic Winter 2023,1,$4000,2023-12-14,125,141,2
fnatic,https://escorenews.com/ru/csgo/team/fnatic,Europe,KRIMZ,active player,https://escorenews.com/ru/csgo/player/krimz,bodyy,active player,https://escorenews.com/ru/csgo/player/bodyy,blameF,active player,https://escorenews.com/ru/csgo/player/blamef,afro,active player,https://escorenews.com/ru/csgo/player/afro,MATYS,active player,https://escorenews.com/ru/csgo/player/matys-sk,CCT S2 EU #6,2,$10000,2024-07-28,RES EU S6,1,$50000,2024-07-22,FiReLEAGUE 2023 Finals,2,$30000,2024-06-17,Compass 2024,5,$20000,2024-06-09,EPL S19,21,$7000,2024-05-12,CCT S2 EU #1,5,$2000,2024-05-04,Compass 2024 Spring,2,$3500,2024-05-02,RES EU S1,1,$50000,2024-03-06,EME 2023,7,$5000,2023-12-03,IEM Sydney 2023,9,$5000,2023-10-22,105,1319,2
team-vitality,https://escorenews.com/ru/csgo/team/vitality,Europe,apEX,active player,https://escorenews.com/ru/csgo/player/apex,ZywOo,active player,https://escorenews.com/ru/csgo/player/zywoo,Spinx,active player,https://escorenews.com/ru/csgo/player/spinx,flameZ,active player,https://escorenews.com/ru/csgo/player/flamez,mezii,active player,https://escorenews.com/ru/csgo/player/mezii,IEM Cologne 2024,1,$400000,2024-08-18,BLAST Fall Groups 2024,1,$22500,2024-08-04,EWC 2024,5,$40000,2024-07-21,BLAST Spring Final 2024,3,$40000,2024-06-16,IEM Dallas 2024,2,$42000,2024-06-02,EPL S19,2,$80000,2024-05-12,PGL Major Copenhagen 2024,3,$80000,2024-03-31,IEM Katowice 2024,13,$10000,2024-02-11,BLAST Spring Groups 2024,1,$22500,2024-01-28,BLAST World Final 2023,1,$500000,2023-12-17,55,494,8
made-in-brazil,https://escorenews.com/ru/csgo/team/made-in-brazil,North America,exit,active player,https://escorenews.com/ru/csgo/player/exit,saffee,active player,https://escorenews.com/ru/csgo/player/saffee,drop,active player,https://escorenews.com/ru/csgo/player/drop,insani,active player,https://escorenews.com/ru/csgo/player/insani,brnz4n,active player,https://escorenews.com/ru/csgo/player/brnz4n,IEM Cologne 2024,17,$4500,2024-08-18,CCT S2 SA #2,2,$4000,2024-08-03,EWC 2024,12,$10000,2024-07-21,ESL Jönköping 2024,5,$3000,2024-06-16,ECL S47 – South America,5,$3000,2024-06-10,ESL Melbourne 2024,1,$50000,2024-04-28,GET Rio 2024,3,$20000,2024-04-20,RES LATAM S3,1,$25000,2024-04-15,BBD Dubai 2023,3,$30000,2023-12-10,ESL Jönköping 2023,3,$10000,2023-11-26,149,697,–
bleed-esports,https://escorenews.com/ru/csgo/team/bleed,Europe,jkaem,active player,https://escorenews.com/ru/csgo/player/jkaem,hampus,active player,https://escorenews.com/ru/csgo/player/hampus,nexa,active player,https://escorenews.com/ru/csgo/player/nexa,nawwk,active player,https://escorenews.com/ru/csgo/player/nawwk,CYPHER,active player,https://escorenews.com/ru/csgo/player/cypher,TWC 2024 – Closed Qualifier 1,1,$20000,2024-10-01,CCT S2 EU #10,5,$2000,2024-09-08,CCT S2 EU #5,5,$2000,2024-06-16,RES EU S5,3,$12500,2024-06-11,MNM 2024 Spring,2,$25000,2024-06-02,RES EU S4,3,$12500,2024-05-22,EI 2024 Spring,9,$500,2024-05-18,CCT S2 EU #2,5,$2000,2024-05-12,HellCup #9,5,$532,2024-05-09,RES EU S2,2,$25000,2024-04-24,104,104,–
